Model,Accuracy,Gender
Facenet512,100.0,Male
Facenet,75.0,Male
VGG-Face,75.0,Male
Openface,53.0,Male
Deepface,56.0,Male
Arcface,91.0,Male
Facenet512,95.0,Female
Facenet,77.0,Female
VGG-Face,86.0,Female
Openface,58.0,Female
Deepface,58.0,Female
Arcface,89.0,Female
Facenet512,98.0,Male
Facenet,60.0,Male
VGG-Face,72.0,Male
Openface,50.0,Male
Deepface,53.0,Male
Arcface,86.0,Male
Facenet512,100.0,Female
Facenet,73.0,Female
VGG-Face,87.0,Female
Openface,62.0,Female
Deepface,60.0,Female
Arcface,90.0,Female
Facenet512,94.0,Male
Facenet,72.0,Male
VGG-Face,68.0,Male
Openface,52.0,Male
Deepface,55.0,Male
Arcface,88.0,Male
Facenet512,100.0,Female
Facenet,75.0,Female
VGG-Face,83.0,Female
Openface,60.0,Female
Deepface,58.0,Female
Arcface,90.0,Female
Facenet512,89.93,Male
Facenet,68.50,Male
VGG-Face,76.6,Male
Openface,56.42,Male
Deepface,49.8,Male
Arcface,81.33,Male
Facenet512,75.63,Female
Facenet,62.2,Female
VGG-Face,71.1,Female
Openface,52.4,Female
Deepface,46.2,Female
Arcface,74.25,Female
Facenet512,73.4,Male
Facenet,52.5,Male
VGG-Face,78.0,Male
Openface,55.6,Male
Deepface,61.0,Male
Arcface,49.8,Male
Facenet512,77.2,Female
Facenet,54.2,Female
VGG-Face,87.0,Female
Openface,53.8,Female
Deepface,57.4,Female
Arcface,46.5,Female
