Model,Dataset,CM_ACC,Precision,Recall,Total Images,TP,TN,FP,FN,Undetected
Facenet512,LFW,91.0,99.0,83.0,6000,2496,2974,26,504,0
Facenet,LFW,79.0,100.0,58.0,6000,1733,2992,8,1267,0.0
VGG-Face,LFW,86.0,81.0,93.0,6000,2799,2334,666,201,0.0
OpenFace,LFW,56.0,86.0,15.0,6000,441,2929,71,2559,0.0
DeepFace,LFW,64.0,76.0,41.0,6000,1225,2621,379,1775,0.0
ArcFace,LFW,94.0,99.0,89.0,6000,2678,2966,34,322,0.0
Facenet512,LFW,91.0,99.0,84.0,2000,837,989,11,163,0.0
Facenet,LFW,73.0,100.0,46.0,2000,462,1000,0,538,0.0
VGG-Face,LFW,80.0,79.0,81.0,2000,805,785,215,195,0.0
OpenFace,LFW,56.00000000000001,98.0,11.0,2000,114,998,2,886,0.0
DeepFace,LFW,56.99999999999999,73.0,22.0,2000,219,918,82,781,0.0
ArcFace,LFW,90.0,100.0,80.0,2000,801,997,3,199,0.0
